UI,E1a,E2a,E3a,E4a,E5a,N1a,N2a,N3a,N4a,N5a,D1a,D2a,D3a,D4a,D5a,I1a,I2a,I3a,I4a,I5a,A1a,A2a,A3a,A4a,A5a,E1b,E2b,E3b,E4b,E5b,N1b,N2b,N3b,N4b,N5b,D1b,D2b,D3b,D4b,D5b,I1b,I2b,I3b,I4b,I5b,A1b,A2b,A3b,A4b,A5b,E1c,E2c,E3c,E4c,E5c,N1c,N2c,N3c,N4c,N5c,D1c,D2c,D3c,D4c,D5c,I1c,I2c,I3c,I4c,I5c,A1c,A2c,A3c,A4c,A5c,mean_target
10001,3,4,3,5,4,4,3,4,3,5,5,4,3,5,5,5,4,4,3,5,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80
10002,3,2,2,3,5,3,3,3,2,4,2,3,3,4,4,2,1,1,1,4,3,3,4,3,2,4,3,3,4,4,3,3,3,2,4,3,4,3,4,4,2,2,1,1,4,3,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,8.31
10003,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,2,2,3,3,2,3,1,2,2,3,3,3,3,3,2,3,3,3,2,1,3,3,2,3,3,2,4.89
10004,4,2,2,5,4,1,5,5,3,3,1,4,3,5,4,1,1,1,1,4,5,3,3,2,4,2,2,3,4,3,2,4,4,2,3,2,1,2,2,5,1,1,1,1,4,4,4,3,3,3,2,2,2,4,3,1,4,3,2,4,2,1,1,4,4,1,1,1,1,3,4,4,3,3,4,8.50
10005,2,1,2,2,3,2,3,1,1,4,1,3,2,3,3,2,1,2,1,4,1,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,2,3,2,3,4,2,2,2,2,4,1,2,2,1,1,6.13
10006,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,2,2,5,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,4,5,5,5,4,3,4,5,4,4,3,3,1,2,3,1,2,2,1,3,7.67
10007,1,1,3,1,2,2,1,1,2,2,1,4,2,3,2,1,1,1,2,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,3,3,1,4,2,6.63
10008,3,1,1,1,2,1,2,1,1,2,4,4,2,3,4,2,1,2,1,4,1,1,1,1,1,4,2,2,4,4,2,4,3,2,3,4,4,3,4,4,4,2,2,2,4,2,2,2,2,2,4,2,4,3,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,4,2,2,2,1,2,8.55
10009,3,2,2,3,4,2,2,2,3,4,3,3,3,3,4,3,2,2,2,4,2,2,3,2,2,3,2,2,4,4,2,2,2,2,4,2,3,3,3,4,3,2,2,2,4,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,8.67
10010,2,3,3,3,3,2,2,4,3,3,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,5,3,4,3,4,3,4,4,4,3,3,3,4,3,3,2,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,6.56
10011,5,2,2,4,3,3,2,2,2,5,3,3,3,4,4,2,1,2,2,4,3,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89
10012,4,3,2,4,4,4,5,3,4,4,3,3,2,4,5,2,2,1,1,4,1,1,1,2,3,5,4,4,5,5,4,4,4,3,5,2,3,3,3,5,3,2,1,1,5,2,2,2,2,3,3,4,3,3,4,4,5,5,5,4,2,4,3,4,4,1,2,1,1,3,2,1,2,1,2,8.50
10013,4,4,4,4,5,2,3,4,3,5,5,5,4,5,5,3,3,3,3,5,2,2,2,1,3,5,3,4,3,5,3,4,4,3,5,2,5,3,4,5,3,2,3,1,5,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
10014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5.75
